#{"t_start": 1721932980.5830736, "env_id": "None"}
r,l,t
-839.0956,301,756.956009
-14.338224,49,757.793715
-603.6871,301,760.750975
-808.0338,301,761.599126
-664.7286,301,762.588762
-399.30304,301,763.41571
-12.051136,46,763.445355
-614.4198,301,766.364786
-468.43933,301,767.260284
-568.3104,301,769.035583
-337.01752,301,769.051208
-15.642986,49,769.962804
-620.7264,301,771.994437
-11.529173,45,772.841698
-363.76566,301,772.881963
-435.3882,301,774.663949
-293.62155,301,775.59065
-15.832417,50,775.59065
-1150.5153,301,778.463648
-791.38336,301,778.510926
-636.3756,301,781.26826
-406.71896,301,781.26826
-288.05737,301,784.100688
-354.65878,301,784.144456
-744.7293,301,786.858378
-364.79395,301,786.858378
-574.9273,301,789.717105
-901.40314,301,789.763989
-16.59383,50,790.722728
-316.45602,301,792.499701
-1236.8535,301,792.499701
-564.0867,301,795.325743
-440.49887,301,796.320965
-1109.1254,301,798.105803
-1003.37665,301,798.105803
-1015.5859,301,800.939547
-504.3717,301,801.984176
-401.1167,301,803.841043
-334.8109,301,803.841043
-644.0237,301,807.042586
-447.6006,301,808.143858
-897.6883,301,810.061657
-411.15222,301,810.061657
-433.11462,301,813.101604
-1109.7612,301,814.170381
-458.77756,301,816.104242
-439.32684,301,816.104242
-632.31354,301,819.227288
-329.69794,301,820.249499
-948.13806,301,822.118279
-411.64563,301,822.118279
-377.0479,301,825.078955
-1055.5723,301,826.130828
-831.58014,301,828.001534
-930.2038,301,828.001534
-367.03345,301,831.091305
-801.34204,301,832.12965
-946.394,301,834.359694
-683.26685,301,834.359694
-464.83243,301,838.36653
-578.7758,301,839.763711
-766.968,301,842.606555
-399.77856,301,842.606555
-855.0901,301,847.549213
-491.37064,301,848.680394
-162.51239,52,849.816161
-1107.8745,301,850.839697
-946.9668,301,850.839697
-603.12646,301,854.810231
-425.92694,301,857.494728
-714.12463,301,858.428088
-10.623188,44,858.428088
-503.44797,301,858.428088
-114.46886,51,859.485956
-423.67755,301,861.825986
-654.29877,301,864.946014
-967.331,301,864.946014
-909.9239,301,866.180858
-259.5948,301,868.319701
-622.2389,301,871.833988
-450.25568,301,871.833988
-358.99252,301,873.005987
-863.98724,301,875.538211
-386.03915,301,879.235501
-774.5242,301,879.235501
